RAOB/Space
    Balloon release date and time                	2017-02-03T18:44:12
    Station name                                 	UMBC
    Sonde type                                   	RS41-SGP
    System trademark and model                   	MW41
    Software version                             	MW41 2.2.0
    Sonde software version                       	2.2.13
    Sounding status                              	Ok

     P  Temp  Dewp  RH Dir Speed HeightMSL    Lat     Lon Elapsed time
   hPa    °C    °C   %   °   m/s         m      °       °          min
 966.5  -2.3 -11.2  50 332   6.5       449 37.842 -75.478         1.34
 965.7  -2.4 -11.6  49 332   6.7       456 37.842 -75.478         1.35
 964.9  -2.4 -12.1  47 331   6.9       463 37.842 -75.478         1.37
 964.1  -2.4 -12.4  46 331   7.1       471 37.842 -75.477         1.39
 963.3  -2.5 -12.5  46 331   7.2       477 37.842 -75.477         1.40
 962.5  -2.5 -12.6  46 330   7.4       483 37.842 -75.477         1.42
 961.8  -2.6 -12.7  46 330   7.6       489 37.842 -75.477         1.44
 961.0  -2.6 -12.8  45 330   7.7       496 37.842 -75.477         1.45
 960.3  -2.6 -13.1  44 329   7.9       502 37.841 -75.477         1.47
 959.6  -2.6 -13.3  44 329   8.0       507 37.841 -75.477         1.49
 959.0  -2.6 -13.3  43 328   8.1       513 37.841 -75.477         1.50
 958.3  -2.6 -13.4  43 328   8.2       518 37.841 -75.477         1.52
 957.7  -2.6 -13.6  42 327   8.3       522 37.841 -75.477         1.54
 957.0  -2.5 -13.8  42 327   8.4       528 37.841 -75.477         1.55
 956.4  -2.5 -13.9  41 326   8.5       533 37.841 -75.477         1.57
 955.8  -2.5 -13.9  41 325   8.6       539 37.841 -75.477         1.59
 955.1  -2.5 -14.0  41 325   8.6       544 37.841 -75.477         1.60
 954.4  -2.6 -14.2  40 324   8.7       550 37.841 -75.477         1.62
 953.8  -2.5 -14.3  40 323   8.7       555 37.841 -75.477         1.64
 953.2  -2.5 -14.4  40 322   8.7       561 37.841 -75.477         1.65
 952.5  -2.6 -14.5  39 321   8.7       566 37.841 -75.477         1.67
 951.9  -2.6 -14.6  39 321   8.8       571 37.840 -75.477         1.69
 951.2  -2.5 -14.6  39 320   8.8       576 37.840 -75.477         1.70
 950.6  -2.5 -14.7  39 319   8.8       581 37.840 -75.477         1.72
 950.0  -2.4 -14.6  39 318   8.7       585 37.840 -75.476         1.74
 949.3  -2.2 -14.4  39 317   8.7       591 37.840 -75.476         1.75
 948.6  -2.2 -14.4  39 316   8.7       597 37.840 -75.476         1.77
 947.9  -2.1 -14.3  39 315   8.7       604 37.840 -75.476         1.79
 947.2  -2.1 -14.4  38 315   8.6       611 37.840 -75.476         1.80
 946.5  -2.0 -14.5  38 314   8.6       617 37.840 -75.476         1.82
 945.8  -2.0 -14.8  37 313   8.5       622 37.840 -75.476         1.84
 945.1  -1.9 -15.0  36 312   8.5       627 37.840 -75.476         1.85
 944.5  -1.9 -15.1  36 312   8.4       633 37.840 -75.476         1.87
 943.8  -1.9 -15.1  36 311   8.3       639 37.840 -75.476         1.89
 943.2  -1.9 -15.2  36 310   8.3       643 37.840 -75.476         1.90
 942.6  -2.0 -15.2  36 310   8.2       649 37.840 -75.476         1.92
 942.0  -2.0 -15.2  36 309   8.1       654 37.840 -75.475         1.94
 941.4  -2.0 -15.2  36 309   8.1       660 37.840 -75.475         1.95
 940.8  -2.0 -15.3  36 308   8.0       664 37.840 -75.475         1.97
 940.2  -2.0 -15.4  35 308   7.9       668 37.840 -75.475         1.99
 939.6  -2.0 -15.4  35 308   7.9       673 37.840 -75.475         2.00
 938.9  -2.0 -15.4  35 307   7.8       679 37.840 -75.475         2.02
 938.3  -2.0 -15.3  35 307   7.8       684 37.840 -75.475         2.04
 937.6  -2.0 -15.1  36 307   7.7       690 37.839 -75.475         2.05
 937.0  -2.0 -14.8  37 306   7.7       696 37.839 -75.475         2.07
 936.3  -2.0 -14.6  38 306   7.7       702 37.839 -75.475         2.09
 935.6  -2.1 -14.5  38 306   7.7       708 37.839 -75.475         2.10
 935.0  -2.1 -14.5  38 306   7.7       714 37.839 -75.475         2.12
 934.3  -2.2 -14.5  38 306   7.7       719 37.839 -75.475         2.14
 933.6  -2.2 -14.4  39 305   7.7       724 37.839 -75.475         2.15
 933.0  -2.3 -14.3  39 305   7.7       730 37.839 -75.475         2.17
 932.4  -2.3 -14.2  40 305   7.8       736 37.839 -75.475         2.19
 931.7  -2.3 -14.0  40 305   7.8       741 37.839 -75.474         2.20
 931.1  -2.4 -13.9  41 305   7.9       747 37.839 -75.474         2.22
 930.5  -2.4 -13.8  41 305   7.9       752 37.839 -75.474         2.24
 930.0  -2.4 -13.7  42 305   8.0       756 37.839 -75.474         2.25
 929.4  -2.5 -13.6  42 305   8.0       761 37.839 -75.474         2.27
 928.8  -2.5 -13.6  42 305   8.0       766 37.839 -75.474         2.29
 928.3  -2.6 -13.5  43 305   8.1       770 37.839 -75.474         2.30
 927.7  -2.6 -13.3  43 305   8.1       775 37.839 -75.474         2.32
 927.1  -2.6 -13.3  44 305   8.2       780 37.839 -75.474         2.34
 926.6  -2.6 -13.3  44 305   8.2       785 37.839 -75.474         2.35
 926.0  -2.6 -13.3  44 305   8.2       790 37.839 -75.474         2.37
